상표명,세균제위험,곰팡이제위험,계열,일반명
보라미,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
보람,🟢,🔴,항진균항생제,Polyoxin D+Thiophanate-methyl
보증샷,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
보트리사이드,🟡,🔴,트리아졸·이미다졸(DMI),Fenpyrazamine
보호망,🟡,🔴,디티오카바메이트,Thiram+Methiocarb
부농왕,🔴,🔴,토양훈증,Dazomet
부라마이신,🔴,🟡,항생제계(세균표적),Streptomycin
부란카트,🟢,🔴,항진균항생제,Polyoxin D
부킹,🟡,🔴,트리아졸·이미다졸(DMI),Propiconazole
브란빌,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Tebufloquin
브래이브,🔴,🟡,항생제계(세균표적),Oxytetracycline dihydrate
블랙다이아,🟡,🔴,SDHI,Fludioxonil+Isofetamid
블랙박스,🟡,🔴,스트로빌루린(QoI),Propineb+Pyraclostrobin
블랙잭,🟡,🔴,SDHI,Boscalid+Pyraclostrobin
블랙홀,🟡,🔴,트리아졸·이미다졸(DMI),Imibenconazole
블루썬더,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole.Thifluzamide
블루오션,🟡,🔴,SDHI,Fluxapyroxad+Metrafenone
블루칩,🔴,🟡,항생제계(세균표적),Kasugamycin
블루칸,🟡,🔴,벤지미다졸(MBC),Carbendazim+Difenoconazole
비거,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
비긴엔,🟡,🔴,SDHI,Pyraziflumid
비온엠,🟡,🔴,디티오카바메이트,Acibenzolar-S-methyl+Mancozeb
비천무,🔴,🟡,항생제계(세균표적),Oxolinic acid
비치나,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Propiconazole
비타지람,🟡,🔴,SDHI,Carboxin+Thiram
빅그린,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Tebuconazole
빅매치,🔴,🟡,항생제계(세균표적),Streptomycin+Validamycin A
빅맨,🔴,🟡,항생제계(세균표적),Chlorothalonil+Kasugamycin
빅쇼,🟢,🔴,스트로빌루린(QoI),Pyraclostrobin
빅스톱,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
빅펀치,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
빅히트,🔴,🟡,항생제계(세균표적),Oxolinic acid+Oxytetracycline dihydrate
빈나리,🟡,🔴,트리아졸·이미다졸(DMI),Diniconazole
뿌리엔,🔴,🟡,항생제계(세균표적),Chlorothalonil+Oxolinic acid
사령관,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Carbosulfan
사일런트,🟢,🔴,벤지미다졸(MBC),Benomyl
사천왕,🟡,🔴,트리아졸·이미다졸(DMI),Prochloraz-manganese+Tebuconazole
산요루,🔴,🔴,동제(구리),DBEDC
살루스,🟡,🔴,트리아졸·이미다졸(DMI),Fluazinam+Tebuconazole
살림꾼,🟡,🔴,트리아졸·이미다졸(DMI),Metconazole
삼각편대,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Validamycin A+Etofenprox
삼공베노람,🟡,🔴,벤지미다졸(MBC),Benomyl+Thiram
삼공스포탁,🟡,🔴,트리아졸·이미다졸(DMI),Prochloraz
삼공지오판,🟢,🔴,벤지미다졸(MBC),Thiophanate-methyl
